sampling_location,duplicate_sample,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,bottom_sample_depth_ft,top_salinity_psu,bottom_salinity_psu,top_conductivity_s_m,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,percentage_o2_saturation_bottom_sample,light_trans_transparency_top_sample,light_trans_transparency_bottom_sample,top_sigma_t_kg_m3,bottom_sigma_t_kg_m3,top_fluorometer_mg_m3,bottom_fluorometer_mg_m3,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_par_ue_s_m2,bottom_sample_par_ue_s_ue_s_m2,oxidation_reduction_potential_mv_top_sample,oxidation_reduction_potential_mv_bottom_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,winkler_method_bottom_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,bottom_ph,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,top_fecal_coliform_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,top_enterococci_bacteria_cells_100ml,bottom_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,bottom_nitrate_nitrite_mg_l,top_ammonium_mg_l,bottom_ammonium_mg_l,top_ortho_phosphorus_mg_l,bottom_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,bottom_silica_mg_l,total_phosphorus_mg_l,bottom_total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,bottom_active_chlorophyll_a_g_l,chlorophyll_top_sample_field_u_l_ysi,chlorophyll_bottom_sample_field_u_l_ysi,top_total_organic_carbon_mg_l,top_dissolved_organic_carbon_mg_l,bottom_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,top_sample_salinity_ysi_psu,bottom_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_beam_attenuation_coefficient,bottom_beam_attenuation_coefficient,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,top_coliform_log_no_ml,bottom_coliform_log_no_ml,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,oakwood_total_suspended_solid_top_sample_mg_l,oakwood_total_suspended_solid_bottom_sample_mg_l,top_turbidity_nephelometric_turbidity_units,bottom_turbidity_ysi_nephelometric_turbidity_units,sampling_comment,long,lat,type
WC2,,2021-04-13T00:00:00.000,11:51 AM,W,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,W,4.00,NE,1,,,,7.91,,,,E,,40,,E,,16,,0.165,,0.248,,0.089,,0.628,,0.742,,0.168,,74,,11.8,,22.82,,,2.47,,10.05,,,,24.70,,10.41,,,,,,,,,,,,,,,,4.34,,,-73.83984,"40.83888,",Provisional
HR03,,2021-04-13T00:00:00.000,10:39 AM,W,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,4.00,NE,1,,,,8.07,,,,,,560,,,,210,,0.081,,0.156,,0.055,,0.607,,0.727,,0.175,,38,,21.4,,38.55,,,2.87,,10.52,,,,21.63,,11.60,,,,,,,,,,,,,,,,4.17,,,-73.82087,"40.88087,",Provisional
WC1,,2021-04-13T00:00:00.000,12:04 PM,W,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,W,4.00,NE,1,,,,7.97,,,,E,,100,,E,,12,,0.17,,0.285,,0.08,,0.491,,0.962,,0.15,,43,,12.6,,10.92,,,2.3,,11.27,,,,24.73,,9.83,,,,,,,,,,,,,,,,4.02,,,-73.84228,"40.82775,",Provisional
E8,,2021-04-13T00:00:00.000,11:18 AM,W,,,101.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,4.00,NE,1,,,,7.87,,,,,,90,,E,,2,,0.179,,0.297,,0.069,,0.53,,0.55,,0.126,,38,,8.58,,5.48,,,2.06,,9.95,,,,25.79,,8.64,,,,,,,,,,,,,,,,2.36,,,-73.8205,"40.805,",Provisional
WC3,,2021-04-13T00:00:00.000,12:13 PM,W,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,1.1,W,4.00,NE,1,,,,7.83,,,,E,,10,,E,,10,,0.246,,0.29,,0.082,,0.502,,0.718,,0.151,,20,,4.25,,1.59,,,2.44,,9.80,,,,25.01,,9.27,,,,,,,,,,,,,,,,2.57,,,-73.84319,"40.81507,",Provisional
E12,,2021-04-13T00:00:00.000,11:00 AM,W,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,4.00,NE,1,,,,8.19,,,,E,,140,,<,,10,,0.019,,0.106,,0.033,,0.363,,0.093,,0.053,,37,,16,,27.95,,,2.19,,11.85,,,,26.41,,9.24,,,,,,,,,,,,,,,,1.80,,,-73.80945,"40.85444,",Provisional
HR2,,2021-04-13T00:00:00.000,10:31 AM,W,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,4.00,NE,1,,,,8.03,,,,,,820,,,,380,,0.144,,0.223,,0.083,,0.778,,1.06,,0.187,,31,,25.3,,35.50,,,2.93,,9.69,,,,24.49,,11.86,,,,,,,,,,,,,,,,3.73,,,-73.82403,"40.88791,",Provisional
N9A,,2021-04-14T00:00:00.000,9:43 AM,W,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,E,6.00,W,1,,,,8.03,,,,E,,10,,<,,2,,0.09,,0.316,,0.033,,0.531,,0.809,,0.087,,50,,8.72,,10.48,,,1.71,,9.95,,,,29.21,,9.91,,,,,,,,,,,,,,,,1.76,,,-73.9355,"40.56783,",Provisional
J11,,2021-04-14T00:00:00.000,9:52 AM,W,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,6.00,W,1,,,,7.95,,,,,,300,,E,,20,,0.225,,0.252,,0.033,,0.66,,1.304,,0.096,,70,,8.96,,8.67,,,2.19,,9.62,,,,27.90,,10.38,,,,,,,,,,,,,,,,2.17,,,-73.93133,"40.58167,",Provisional
J1,,2021-04-14T00:00:00.000,10:06 AM,W,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,E,6.00,W,1,,,,7.95,,,,E,,6,,<,,2,,0.111,,0.206,,0.033,,0.488,,0.904,,0.074,,47,,10.8,,9.50,,,1.9,,9.63,,,,29.17,,10.19,,,,,,,,,,,,,,,,1.97,,,-73.88467,"40.57333,",Provisional
JA1,D,2021-04-14T00:00:00.000,10:45 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,20,,<,,2,,0.226,,0.667,,0.15,,0.78,,1.55,,0.204,,40,,2.15,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.813,"40.643,",Provisional
J12,,2021-04-14T00:00:00.000,10:36 AM,W,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,E,6.00,W,1,,,,7.74,,,,E,,4,,<,,2,,0.217,,0.584,,0.153,,0.899,,1.457,,0.228,,47,,18.7,,0.11,,,2.52,,8.29,,,,27.25,,12.31,,,,,,,,,,,,,,,,1.18,,,-73.80633,"40.633,",Provisional
BB4,,2021-04-14T00:00:00.000,11:00 AM,W,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,6.00,W,1,,,,7.54,,,,,,250,,E,,4,,0.262,,0.739,,0.154,,1,,1.882,,0.229,,25,,1.79,,0.05,,,3.22,,7.24,,,,25.93,,12.15,,,,,,,,,,,,,,,,2.25,,,-73.823320,"40.652640,",Provisional
J7,,2021-04-14T00:00:00.000,10:51 AM,W,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,6.00,W,1,,,,7.63,,,,E,,48,,<,,2,,0.24,,0.642,,0.155,,0.881,,1.646,,0.207,,44,,1.25,,,,,2.53,,7.65,,,,26.58,,12.34,,,,,,,,,,,,,,,,1.71,,,-73.82083,"40.64533,",Provisional
J8,,2021-04-14T00:00:00.000,11:13 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,W,6.00,W,1,,,,7.81,,,,E,,4,,<,,2,,0.22,,0.399,,0.128,,0.732,,1.296,,0.172,,54,,4.5,,0.19,,,2.23,,8.60,,,,27.93,,12.21,,,,,,,,,,,,,,,,1.80,,,-73.82083,"40.64533,",Provisional
JA1,,2021-04-14T00:00:00.000,10:45 AM,W,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,E,6.00,W,1,,,,7.69,,,,E,,36,,E,,2,,0.224,,0.554,,0.153,,0.874,,1.539,,0.231,,46,,1.89,,0.17,,,2.68,,7.89,,,,27.16,,12.05,,,,,,,,,,,,,,,,1.78,,,-73.813,"40.643,",Provisional
J5,,2021-04-14T00:00:00.000,10:26 AM,W,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,E,6.00,W,1,,,,7.75,,,,E,,6,,<,,2,,0.177,,0.444,,0.112,,0.666,,1.268,,0.181,,46,,1.96,,0.04,,,2.29,,8.36,,,,27.90,,11.80,,,,,,,,,,,,,,,,1.85,,,-73.809,"40.59767,",Provisional
AC1,,2021-04-20T00:00:00.000,11:25 AM,D,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,,,,,,124,,,,76,,2.21,,0.494,,0.081,,1.355,,16.7,,0.416,,88,,10.7,,3.13,,,1.97,,10.06,,,,0.89,,15.92,,,,,,,,,,,,,,,,77.35,,,-73.75175,"40.76317,",Provisional
BR1,,2021-04-20T00:00:00.000,10:42 AM,D,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01,,,,,,2300,,,,92,,0.907,,0.411,,0.033,,0.551,,5.294,,0.053,,4,,9.52,,5.06,,,2.85,,9.89,,,,0.51,,12.75,,,,,,,,,,,,,,,,3.63,,,-73.86271,"40.89314,",Provisional
BR3,D,2021-04-20T00:00:00.000,9:48 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,E,,44,,0.69,,0.393,,0.033,,0.932,,4.515,,0.132,,9,,74.8,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.8848,"40.82537,",Provisional
BR3,,2021-04-20T00:00:00.000,9:48 AM,D,,,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,,,,,,176,,E,,36,,0.715,,0.382,,0.033,,0.984,,4.593,,0.129,,9,,73.8,,96.18,,,2.87,,10.79,,,,7.97,,12.17,,,,,,,,,,,,,,,,5.31,,"High Chl'a', checked multiple times",-73.8848,"40.82537,",Provisional
GC6,,2021-04-21T00:00:00.000,9:49 AM,D,,,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.60,7.60,,,,,124,164,,,189,400,0.38,,0.859,,0.069,,0.986,,2.21,2.22,0.223,,45,88,1.82,,0.37,0.23,,2.37,,8.59,8.56,,,18.31,18.31,10.91,10.91,,,,,,,,,,,,,,,22.60,22.90,,-73.99639,"40.67417,",Provisional
GC4,,2021-04-21T00:00:00.000,9:14 AM,D,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,,,E,,68,,E,,32,,0.388,,0.299,,0.074,,0.741,,2.21,,0.133,,30,,2.38,,,,,2.2,,8.78,,,,18.57,,10.81,,,,,,,,,,,,,,,,4.33,,Negative Chl'A' number,-73.98907,"40.67803,",Provisional
SP1,,2021-04-21T00:00:00.000,11:12 AM,D,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,,,,E,,22,,E,,8,,0.459,,1.53,,0.19,,1.637,,4.63,,0.371,,38,,6.5,,4.57,,,3.48,,7.81,,,,21.80,,14.75,,,,,,,,,,,,,,,,20.61,,,-73.86029,"40.65507,",Provisional
CIC2,,2021-04-21T00:00:00.000,10:41 AM,D,,,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,,,,,,12545,,,,2400,,0.671,,0.434,,0.089,,0.995,,2.93,,0.148,,6,,1.36,,2.11,,,2.43,,7.17,,,,20.18,,12.03,,,,,,,,,,,,,,,,2.48,,,-73.98564,"40.58167,",Provisional
GC3,,2021-04-21T00:00:00.000,9:03 AM,D,,,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66,,,,E,,8,,E,,10,,0.341,,0.307,,0.045,,1.219,,1.97,,0.096,,8,,0.868,,0.05,,,2.36,,8.77,,,,20.67,,10.43,,,,,,,,,,,,,,,,4.88,,,-73.98824,"40.67943,",Provisional
GC5,,2021-04-21T00:00:00.000,9:27 AM,D,,,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,,,E,,20,,E,,4,,0.366,,0.324,,0.072,,0.643,,2.26,,0.088,,20,,0.776,,,,,2.5,,8.78,,,,18.75,,10.78,,,,,,,,,,,,,,,,4.40,,Negative Chl'A' number,-73.99005,"40.67614,",Provisional
GC5,D,2021-04-21T00:00:00.000,9:27 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,16,,E,,20,,0.353,,0.317,,0.067,,0.611,,2.26,,0.078,,6,,0.756,,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.99005,"40.67614,",Provisional
J3,D,2021-04-26T00:00:00.000,10:03 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<,,4,,<,,2,,0.207,,0.25,,0.094,,0.681,,1.12,,0.133,,12,,5.16,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.88283,"40.627,",Provisional
J16,,2021-04-26T00:00:00.000,9:00 AM,W,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,E,NW,15,1,,,,7.77,,,,E,,28,,<,,4,,0.237,,0.496,,0.122,,0.952,,1.36,,0.181,,24,,7.24,,3.59,,,2.39,,8.93,,,,27.50,,10.08,,,,,,,,,,,,,,,,7.01,,,-73.84761,"40.61143,",Provisional
J10,,2021-04-26T00:00:00.000,9:56 AM,W,,,31.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,NW,15,1,,,,7.88,,,,<,,4,,E,,4,,0.172,,0.218,,0.08,,0.706,,0.939,,0.107,,6,,7.68,,3.64,,,2.23,,9.39,,,,29.06,,10.56,,,,,,,,,,,,,,,,2.58,,,-73.89472,"40.62167,",Provisional
J18,,2021-04-26T00:00:00.000,8:53 AM,W,,,12.50,,,,,,,,,,,,,,,,,,,,,,,,0.3,E,NW,15,1,,,,7.78,,,,<,,4,,<,,4,,0.226,,0.289,,0.108,,0.749,,1.25,,0.163,,14,,6.66,,6.35,,,2.38,,8.83,,,,27.61,,10.18,,,,,,,,,,,,,,,,7.36,,,-73.84795,"40.61932,",Provisional
HC3,,2021-04-26T00:00:00.000,8:32 AM,W,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,E,NW,15,1,,,,7.78,,,,<,,10,,E,,10,,0.873,,0.556,,0.54,,1.132,,2.84,,0.596,,5,,5.24,,4.47,,,3.26,,8.60,,,,27.54,,11.28,,,,,,,,,,,,,,,,4.45,,,-73.86756,"40.63856,",Provisional
J14,,2021-04-26T00:00:00.000,9:21 AM,W,,,7.80,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,NW,15,1,,,,7.87,,,,E,,8,,<,,4,,0.217,,0.277,,0.111,,1.028,,1.39,,0.156,,14,,6.3,,7.21,,,2.64,,8.72,,,,27.62,,10.92,,,,,,,,,,,,,,,,6.75,,,-73.82378,"40.60917,",Provisional
J9A,,2021-04-26T00:00:00.000,10:11 AM,W,,,43.00,,,,,,,,,,,,,,,,,,,,,,,,0.9,W,NW,15,1,,,,7.85,,,,E,,4,,<,,2,,0.228,,0.741,,0.12,,0.775,,1.17,,0.15,,9,,6.1,,3.76,,,2.36,,9.15,,,,28.15,,10.86,,,,,,,,,,,,,,,,2.80,,,-73.87367,"40.63383,",Provisional
J3,,2021-04-26T00:00:00.000,10:03 AM,W,,,34.00,,,,,,,,,,,,,,,,,,,,,,,,0.9,W,NW,15,1,,,,7.87,,,,E,,12,,<,,2,,0.217,,0.261,,0.103,,0.655,,1.08,,0.146,,8,,6.12,,4.34,,,2.3,,9.33,,,,28.53,,10.74,,,,,,,,,,,,,,,,2.69,,,-73.88283,"40.627,",Provisional
J2,,2021-04-26T00:00:00.000,9:45 AM,W,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,W,NW,15,1,,,,7.87,,,,<,,4,,<,,2,,0.177,,0.234,,0.077,,0.738,,0.908,,0.1,,6,,6.02,,2.69,,,2.17,,9.37,,,,29.13,,10.43,,,,,,,,,,,,,,,,2.40,,,-73.88583,"40.60805,",Provisional
E4,,2021-05-03T00:00:00.000,10:22 AM,D,,,74.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,S,10.00,NNE,1,,,,7.71,,,,,,12,,,,1,,0.214,,0.279,,0.09,,0.66,,0.792,,0.132,,7,,1.87,,0.97,,,2.11,,8.62,,,,25.29,,11.06,,,,,,,,,,,,,,,,2.58,,,-73.922,"40.7825,",Provisional
H3,,2021-05-03T00:00:00.000,10:37 AM,D,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,S,10.00,NNE,1,,,,7.58,,,,,,53,,,,2,,0.325,,0.398,,0.084,,0.712,,1.68,,0.113,,8,,0.904,,0.21,,,2.13,,8.08,,,,21.53,,11.66,,,,,,,,,,,,,,,,4.78,,,-73.93383,"40.828,",Provisional
N5,D,2021-05-03T00:00:00.000,11:43 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,20,,0.435,,0.418,,0.059,,0.715,,3.23,,0.137,,15,,0.62,,,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,"40.7045,",Provisional
NC0,,2021-05-03T00:00:00.000,9:27 AM,,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,W,0.00,,1,,,,7.47,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,21.64,5.77,,,,7.14,4.26,,,22.20,23.12,13.46,12.06,,,,,,,,,,,,,,,2.79,2.88,"Aeration Off, Reddish brown water",-73.93156,"40.71496,",Provisional
NC2,,2021-05-03T00:00:00.000,9:48 AM,,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,W,5.00,NNE,1,,,,7.64,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69,5.30,,,,8.85,6.79,,,22.74,23.61,12.86,11.84,,,,,,,,,,,,,,,2.45,1.81,Reddish Brown water,-73.9355,"40.72883,",Provisional
N3B,,2021-05-03T00:00:00.000,11:13 AM,D,,,61.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,S,5.00,NNE,1,,,,7.68,,,,,,32,,,,2,,0.96,,0.564,,0.049,,0.675,,3.86,,0.098,,16,,0.696,,0.36,,,2.73,,9.44,,,,6.31,,13.00,,,,,,,,,,,,,,,,11.98,,,-73.96533,"40.82083,",Provisional
NC3,,2021-05-03T00:00:00.000,9:57 AM,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,W,5.00,NNE,1,,,,7.77,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,18.30,3.20,,,,9.84,7.99,,,23.14,24.03,12.67,11.64,,,,,,,,,,,,,,,4.82,10.47,Reddish Brown water,-73.94617,"40.73717,",Provisional
NC0A,,2021-05-03T00:00:00.000,9:34 AM,,,,15.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,W,0.00,,1,,,,7.59,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,30.30,10.54,,,,8.10,4.76,,,22.42,23.26,13.28,11.96,,,,,,,,,,,,,,,2.72,2.91,"Aeration Off, Reddish brown water",-73.924667,"40.718167,",Provisional
N5,,2021-05-03T00:00:00.000,11:43 AM,D,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,1.6,S,5.00,NNE,1,,,,7.61,,,,,,600,,,,23,,0.431,,0.391,,0.056,,1.124,,3.21,,0.134,,16,,0.612,,0.19,,,2.66,,8.90,,,,11.68,,12.50,,,,,,,,,,,,,,,,12.82,,,-74.03,"40.7045,",Provisional
N1,,2021-05-03T00:00:00.000,10:56 AM,D,,,46.00,,,,,,,,,,,,,,,,,,,,,,,,1.3,S,5.00,NNE,1,,,,7.73,,,,,,16,,,,2,,0.933,,0.385,,0.046,,0.63,,4.05,,0.106,,21,,1.16,,0.52,,,2.79,,9.66,,,,4.47,,12.95,,,,,,,,,,,,,,,,16.08,,,-73.91617,"40.9145,",Provisional
NC1,,2021-05-03T00:00:00.000,9:41 AM,,,,14.00,,,,,,,,,,,,,,,,,,,,,,,,0.1,W,2.00,NNE,1,,,,7.92,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97,11.05,,,,11.31,6.65,,,22.30,23.70,13.38,11.99,,,,,,,,,,,,,,,3.77,2.36,Reddish Brown water,-73.92704,"40.72455,",Provisional
N4,,2021-05-03T00:00:00.000,11:27 AM,D,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,1.6,S,5.00,NNE,1,,,,7.64,,,,,,990,,,,58,,0.46,,0.256,,0.052,,0.891,,3.55,,0.132,,16,,1.08,,0.32,,,2.75,,9.24,,,,8.47,,12.90,,,,,,,,,,,,,,,,13.51,,,-74.005833,"40.7645,",Provisional
E2,,2021-05-03T00:00:00.000,10:08 AM,D,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,0.8,S,10.00,NNE,1,,,,7.64,,,,,,27,,,,4,,0.254,,0.277,,0.113,,0.656,,1.01,,0.114,,5,,1.2,,0.28,,,1.98,,8.19,,,,24.75,,11.12,,,,,,,,,,,,,,,,4.03,,,-73.970300,"40.735700,",Provisional
K3,,2021-05-04T00:00:00.000,11:57 AM,W,,,43.30,,,,,,,,,,,,,,,,,,,,,,,,1.0,SW,0.00,SE,1,,,,7.58,,,,,,1027,,,,500,,0.376,,0.52,,0.058,,0.785,,1.812,,0.095,,8,,1.38,,1.04,,,2.46,,8.20,,,,20.38,,12.87,,,,,,,,,,,,,,,,4.07,,,-74.19583,"40.6375,",Provisional
K6,,2021-05-04T00:00:00.000,11:08 AM,W,,,16.80,,,,,,,,,,,,,,,,,,,,,,,,1.0,SE,10.00,SE,1,,,,7.74,,,,<,,4,,<,,2,,0.239,,0.406,,0.043,,0.643,,1.42,,0.071,,5,,1.01,,0.37,,,2.1,,8.84,,,,23.71,,11.94,,,,,,,,,,,,,,,,2.04,,,-74.10083,"40.51033,",Provisional
K5,D,2021-05-04T00:00:00.000,11:57 AM,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,E,,12,,0.158,,0.547,,0.07,,0.818,,1.428,,0.134,,6,,2.31,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.25883,"40.50883,",Provisional
K5A,,2021-05-04T00:00:00.000,11:26 AM,W,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,1.1,SE,5.00,SE,1,,,,7.68,,,,E,,72,,E,,8,,0.319,,0.388,,0.049,,0.61,,1.296,,0.091,,14,,1.8,,0.72,,,2.47,,8.02,,,,25.58,,12.89,,,,,,,,,,,,,,,,2.08,,,-74.24583,"40.4845,",Provisional
K2,,2021-05-04T00:00:00.000,12:07 PM,W,,,24.60,,,,,,,,,,,,,,,,,,,,,,,,1.0,SW,5.00,SE,1,,,,7.61,,,,,,112,,E,,38,,0.366,,0.406,,0.052,,0.711,,1.774,,0.087,,12,,1.48,,0.15,,,2.38,,8.22,,,,21.81,,12.41,,,,,,,,,,,,,,,,4.39,,,-74.153,"40.64117,",Provisional
K4,,2021-05-04T00:00:00.000,11:45 AM,W,,,37.20,,,,,,,,,,,,,,,,,,,,,,,,1.1,SW,0.00,SE,1,,,,7.53,,,,,,227,,,,60,,0.406,,0.544,,0.09,,1.299,,1.931,,0.139,,8,,2.21,,0.24,,,2.93,,7.72,,,,21.14,,14.33,,,,,,,,,,,,,,,,1.79,,,-74.21167,"40.567,",Provisional
N7,,2021-05-04T00:00:00.000,10:43 AM,W,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,2.7,S,5.00,SE,1,,,,7.64,,,,,,365,,,,124,,0.362,,0.271,,0.059,,0.643,,2.362,,0.072,,10,,0.76,,0.13,,,2.56,,8.67,,,,16.67,,12.04,,,,,,,,,,,,,,,,6.33,,,-74.05383,"40.64383,",Provisional
N6,,2021-05-04T00:00:00.000,10:36 AM,W,,,42.00,,,,,,,,,,,,,,,,,,,,,,,,1.8,S,5.00,SE,1,,,,7.69,,,,,,570,,,,152,,0.351,,0.314,,0.066,,0.685,,2.235,,0.097,,10,,0.556,,0.04,,,2.65,,8.61,,,,18.85,,11.81,,,,,,,,,,,,,,,,7.81,,,-74.05133,"40.66467,",Provisional
K1,,2021-05-04T00:00:00.000,12:18 PM,W,,,53.90,,,,,,,,,,,,,,,,,,,,,,,,1.0,N,5.00,SE,1,,,,7.67,,,,,,340,,,,93,,0.34,,0.322,,0.05,,0.721,,2.207,,0.133,,15,,1.28,,0.14,,,2.53,,8.64,,,,18.08,,12.28,,,,,,,,,,,,,,,,6.91,,,-73.813,"40.643,",Provisional
K5,,2021-05-04T00:00:00.000,11:32 AM,W,,,43.50,,,,,,,,,,,,,,,,,,,,,,,,1.3,SW,5.00,SE,1,,,,7.61,,,,E,,8,,E,,14,,0.342,,0.382,,0.074,,0.778,,1.421,,0.127,,12,,2.27,,0.65,,,2.34,,7.71,,,,24.47,,12.90,,,,,,,,,,,,,,,,1.53,,,-74.25883,"40.50883,",Provisional
N8,,2021-05-04T00:00:00.000,10:52 AM,W,,,70.00,,,,,,,,,,,,,,,,,,,,,,,,2.4,S,5.00,SE,1,,,,7.66,,,,,,490,,,,120,,0.348,,0.283,,0.053,,0.661,,2.268,,0.084,,9,,1.18,,0.31,,,2.44,,8.62,,,,18.74,,11.95,,,,,,,,,,,,,,,,5.38,,,-74.0455,"40.60617,",Provisional
E13,,2021-05-05T00:00:00.000,10:09 AM,W,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,1.0,SSE,5.00,E,1,,,,7.73,,,,,,84,,E,,22,,0.167,,0.33,,0.081,,0.685,,0.694,,0.169,,6,,1.36,,0.59,,,2.05,,8.42,,,,25.76,,11.13,,,,,,,,,,,,,,,,2.08,,,-73.84111,"40.80611,",Provisional
WC1,,2021-05-05T00:00:00.000,9:53 AM,W,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,W,,,1,,,,7.60,,,,,,2100,,E,,68,,0.131,,0.527,,0.097,,0.997,,1.438,,0.239,,6,,4.03,,5.93,,,2.41,,7.71,,,,23.18,,12.89,,,,,,,,,,,,,,,,3.79,,Sample taken south of the location,-73.84228,"40.82775,",Provisional
